config,block_size,num_steps,use_cache,n_ok,avg_seconds,avg_tokens_per_second,avg_generated_tokens,BLEU,chrF,avg_prediction_chars,avg_reference_chars,avg_bigram_repetition
E2D2 large_b8_s8_cache,8,8,True,30,0.9795803513999961,67.06142899697754,65.86666666666666,10.12993751190278,45.6496271306512,260.0,137.33333333333334,0.2403292288479171
E2D2 official_b4_s4_cache,4,4,True,30,0.7131492763999973,52.43549341967424,36.53333333333333,17.854090772148258,49.99946520781597,154.43333333333334,137.33333333333334,0.09173028318364924
E2D2 official_b4_s4_no_cache,4,4,False,0,,,,,,,,
E2D2 small_b2_s2_cache,2,2,True,30,0.05510185146666421,36.49630907438622,2.0,0.0,0.3141212602601982,1.4,137.33333333333334,0.03333333333333333
OPUS autoregressive_encoder_decoder,,,,30,0.25532573006667386,113.43979457478913,27.633333333333333,24.362559755941998,54.84719767880332,121.1,137.33333333333334,0.009042906431350715
