config,block_size,num_steps,use_cache,n_ok,avg_seconds,avg_tokens_per_second,avg_generated_tokens,BLEU,chrF,avg_prediction_chars,avg_reference_chars,avg_bigram_repetition
E2D2 large_b8_s8_cache,8,8,True,30,0.9501016376000052,71.0342559677338,65.86666666666666,10.12993751190278,45.6496271306512,260.0,137.33333333333334,0.2403292288479171
E2D2 official_b4_s4_cache,4,4,True,30,1.0661138134333328,37.2358050638483,36.53333333333333,17.854090772148258,49.99946520781597,154.43333333333334,137.33333333333334,0.09173028318364924
E2D2 official_b4_s4_no_cache,4,4,False,0,,,,,,,,
E2D2 small_b2_s2_cache,2,2,True,30,0.1400071159333417,15.754628422431283,2.0,0.0,0.3141212602601982,1.4,137.33333333333334,0.03333333333333333
